transaction_id,date,time,payer,payer_account,payee,payee_account,amount,remark
0022025000002,2025-03-12,10:21:14,朱某,A001,何某,A002,300000,项目首期
0022025000005,2025-03-28,14:06:32,朱某,A001,何某,A002,450000,项目款
0032025000001,2025-04-10,09:43:55,朱某,A001,何某,A003,280000,追加投资
0022025000010,2025-04-26,11:18:09,朱某,A001,何某,A002,600000,二期项目
0052025000001,2025-05-15,15:52:41,朱某,A001,林某,A005,350000,第三方代收
0022025000014,2025-06-02,10:13:27,朱某,A001,何某,A002,500000,项目认购
0032025000007,2025-06-19,16:35:18,朱某,A001,何某,A003,420000,追加份额
0022025000020,2025-07-05,09:58:44,朱某,A001,何某,A002,268000,补足份额
0052025000005,2025-07-28,13:24:07,朱某,A001,林某,A005,550000,第三方代收
0022025000026,2025-08-16,10:02:38,朱某,A001,何某,A002,300000,三期投入
0022025000029,2025-09-03,09:41:56,朱某,A001,何某,A002,700000,资产增值计划
0032025000020,2025-09-22,14:11:26,朱某,A001,何某,A003,400000,追加
0022025000034,2025-10-08,10:27:15,朱某,A001,何某,A002,250000,项目款
0052025000007,2025-10-27,15:03:49,朱某,A001,林某,A005,350000,第三方代收
0022025000040,2025-11-12,09:16:34,朱某,A001,何某,A002,450000,四期项目
0032025000025,2025-11-30,14:46:20,朱某,A001,何某,A003,500000,追加份额
0022025000046,2025-12-12,10:33:51,朱某,A001,何某,A002,300000,项目尾款
0022025000050,2025-12-23,15:28:06,朱某,A001,何某,A002,400000,临时增资
0022025000009,2025-04-18,16:12:02,何某,A002,朱某,A001,120000,一期收益
0032025000005,2025-05-30,11:08:19,何某,A003,朱某,A001,160000,项目分红
0052025000004,2025-07-15,15:37:26,林某,A005,朱某,A001,90000,代返
0022025000032,2025-09-15,10:18:47,何某,A002,朱某,A001,210000,退出部分份额
0032025000022,2025-10-19,13:42:05,何某,A003,朱某,A001,180000,项目退本
0022025000044,2025-12-05,10:05:33,何某,A002,朱某,A001,266000,分红
0022025000052,2026-01-08,14:26:11,何某,A002,朱某,A001,300000,退回

