DOCX | GOLD_CASE_001/visible/documents/01_起诉书.docx | TEXT_OK | (21.0, 29.7) | (3.7, 3.5, 2.8, 2.6) | 4
  fmt | 北京市某区人民检察院 | 黑体 | 22.0 | None | None
  fmt | 起 诉 书 | 黑体 | 22.0 | None | None
  fmt | 京某检刑诉〔2026〕86号 | 仿宋 | 16.0 | None | None
  fmt | 经依法审查查明： | 黑体 | 16.0 | 28.0 | 200
DOCX | GOLD_CASE_001/visible/documents/03_证人证言.docx | TEXT_OK | (21.0, 29.7) | (3.7, 3.5, 2.8, 2.6) | 44
  fmt | 北京市公安局某分局 | 黑体 | 22.0 | None | None
  fmt | 证 人 证 言 汇 编 | 黑体 | 22.0 | None | None
  fmt | GOLD_CASE_001｜林某、王某、刘某 | 仿宋 | 16.0 | None | None
  fmt | 一、证人林某证言 | 黑体 | 16.0 | 28.0 | 200
  fmt | 问：你认识朱某吗？ | 黑体 | 16.0 | 28.0 | 200
  fmt | 答：在这些转账发生以前我不认识朱某。我第一次 | 黑体 | 16.0 | 28.0 | 200
  fmt | 问：何某为什么让你提供银行账户？ | 黑体 | 16.0 | 28.0 | 200
  fmt | 答：2025年5月何某说他自己的账户收付款太 | 黑体 | 16.0 | 28.0 | 200
  fmt | 问：朱某向你的账户转过几笔？ | 黑体 | 16.0 | 28.0 | 200
  fmt | 答：我根据流水确认是三笔：2025年5月15 | 黑体 | 16.0 | 28.0 | 200
  fmt | 问：这些钱由谁决定用途？ | 黑体 | 16.0 | 28.0 | 200
  fmt | 答：基本都是何某决定。他会通过微信或者电话告 | 黑体 | 16.0 | 28.0 | 200
  fmt | 问：2025年7月15日你向朱某转9万元是谁 | 黑体 | 16.0 | 28.0 | 200
  fmt | 答：何某安排的。他说给一个投资人转“季度收益 | 黑体 | 16.0 | 28.0 | 200
  fmt | 问：你是否是所谓云岭新材项目的财务人员？ | 黑体 | 16.0 | 28.0 | 200
  fmt | 答：不是。我从来没有在那个项目或公司上班，也 | 黑体 | 16.0 | 28.0 | 200
  fmt | 问：何某是否告诉你这些钱是朱某购买内部股权份 | 黑体 | 16.0 | 28.0 | 200
  fmt | 答：他只笼统说是项目款、投资人的钱，没有给我 | 黑体 | 16.0 | 28.0 | 200
  fmt | 问：你是否可以自行使用这125万元？ | 黑体 | 16.0 | 28.0 | 200
  fmt | 答：不可以。我认为是何某的钱或者何某让代收的 | 黑体 | 16.0 | 28.0 | 200
  fmt | 问：何某是否欠你钱？ | 黑体 | 16.0 | 28.0 | 200
  fmt | 答：是。2024年8月我借给何某35万元，后 | 黑体 | 16.0 | 28.0 | 200
  fmt | 问：何某何时归还？ | 黑体 | 16.0 | 28.0 | 200
  fmt | 答：35万元是2025年3月29日从何某招商 | 黑体 | 16.0 | 28.0 | 200
  fmt | 问：你知道这105万元来源于何处吗？ | 黑体 | 16.0 | 28.0 | 200
